Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Add,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Lat,Lon,Status
ORIENTAL GARMENT AN GIANG CO LTD,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"PLOT K, BINH HOA INDUSTRIAL ZONE, BINH HOA COMMUNE, CHAU THANH DISTRICT",AN GIANG,AN GIANG,"PLOT K, BINH HOA INDUSTRIAL ZONE, BINH HOA COMMUNE, CHAU THANH DISTRICT, AN GIANG, AN GIANG, Viet Nam",,Viet Nam,SE ASIA,861,651,79.0%,1.5%,19.066998,72.922744,success
"ORIENTAL GARMENT CO., LTD – NONGBUADANG",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),178 MOO 17,NONGBUADANG,,"178 MOO 17, NONGBUADANG, , THAILAND",36210,THAILAND,SE ASIA,220,167,80.0%,0.0%,15.512883,101.301707,doubt
ORIGINAL APPAREL PRIVATE LIMITED,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,WEERAWILA JUNCTION,WEERAWILA,HAMBANTOTA,"WEERAWILA JUNCTION, WEERAWILA, HAMBANTOTA, SRI LANKA",82632,SRI LANKA,S ASIA,580,360,95.0%,0.0%,6.268658,81.109386,doubt
OTS SRL,FINISHED GOODS,APPAREL,NIKE,,DIOR,"VIA GALILEO GALILEI, 10",PIOVE DI SACCO,VENETO,"VIA GALILEO GALILEI, 10, PIOVE DI SACCO, VENETO, ITALY",35028,ITALY,EMEA,51,24,40.0%,0.0%,45.289027,12.055039,doubt
"PACIFIC ATHLETIC WEAR, INC.",FINISHED GOODS,APPAREL,NIKE,,PACIFIC ATHLETIC WEAR,7340 LAMPSON AVENUE,GARDEN GROVE,CALIFORNIA,"7340 LAMPSON AVENUE, GARDEN GROVE, CALIFORNIA, United States of America",92841,United States of America,AMERICAS,103,78,63.0%,0.0%,33.78106,-118.01451,doubt
"PAPILLION TEXTILE (CAMBODIA) CO., LTD",FINISHED GOODS,APPAREL,NIKE,,TUNTEX,VATTANAK II INDUSTRY PARK,PHNOM PENH,PHNOM PENH,"VATTANAK II INDUSTRY PARK, PHNOM PENH, PHNOM PENH, CAMBODIA",12412,CAMBODIA,SE ASIA,2115,1900,95.0%,0.4%,11.514647,104.902157,success
"PARAMOUNT APPAREL INTERNATIONAL, INC.",FINISHED GOODS,APPAREL,NIKE,,PARAMOUNT,#1 PARAMOUNT DRIVE,BOURBON,MISSOURI,"#1 PARAMOUNT DRIVE, BOURBON, MISSOURI, United States of America",65441,United States of America,AMERICAS,525,254,67.0%,0.4%,38.155404,-91.253298,doubt
"PARAMOUNT APPAREL INT'L, INC. WINONA MO",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"HIGHWAY 19 , WINONA , MISSOURI , ",WINONA,MISSOURI,"HIGHWAY 19 , WINONA , MISSOURI , , WINONA, MISSOURI, United States of America",65588,United States of America,AMERICAS,87,84,1.0%,1.2%,37.092286,-91.323353,success
PELLEMODA SRL,FINISHED GOODS,APPAREL,NIKE,,DIOR,"VIA PRIMO MAGGIO,  14 ",EMPOLI,FIRENZE,"VIA PRIMO MAGGIO,  14 , EMPOLI, FIRENZE, ITALY",50053,ITALY,EMEA,160,80,75.0%,20.0%,43.706681,10.899024,doubt
PETTENATI,FINISHED GOODS,APPAREL,NIKE,,PETTENATI,"ROD. RSC 453, KM 2,4",CAXIAS DO SUL,RIO GRANDE DO SUL,"ROD. RSC 453, KM 2,4, CAXIAS DO SUL, RIO GRANDE DO SUL, BRAZIL",95010.55,BRAZIL,AMERICAS,412,315,84.0%,2.5%,-29.166194,-51.224496,doubt
PETTENATI CENTRO AMERICA SA DE CV,MATERIALS,MATERIALS,NIKE,,PETTENATI,"KM. 42, CARRETERA A SANTA ANA, MUNICIPIO DE COATEPEQUE",COATEPEQUE,SAN SALVADOR,"KM. 42, CARRETERA A SANTA ANA, MUNICIPIO DE COATEPEQUE, COATEPEQUE, SAN SALVADOR, EL SALVADOR",N/A,EL SALVADOR,AMERICAS,,,0.0%,0.0%,13.68935,-89.18718,doubt
"PILOT KNIT SPORT WEAR CAMBODIA CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"BUILDING 1, VATTANAK INDUSTRY PARK II, NATIONAL ROAD 3,",PHNOM PENH CITY,KAMPONG CHAAM,"BUILDING 1, VATTANAK INDUSTRY PARK II, NATIONAL ROAD 3,, PHNOM PENH CITY, KAMPONG CHAAM, CAMBODIA",12100,CAMBODIA,SE ASIA,520,431,1.0%,0.2%,12.635759,104.480812,doubt
"PILOTKNIT SPORT WEAR CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"89/13 MOO. 2, RAMA LL ROAD,T.KOKKRABUR",MUANG,SAMUT SAKHON,"89/13 MOO. 2, RAMA LL ROAD,T.KOKKRABUR, MUANG, SAMUT SAKHON, THAILAND",74000,THAILAND,SE ASIA,678,581,65.0%,91.0%,13.56316,100.163323,doubt
PINE TREE COMPANY FOR TEXTILE MANUFACTURING PSC,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,AL-MUWAQQAR INDUSTRIAL ESTATE,AMMAN,AMMAN,"AL-MUWAQQAR INDUSTRIAL ESTATE, AMMAN, AMMAN, JORDAN",110109,JORDAN,EMEA,2285,2056,77.0%,82.1%,31.844277,36.010195,success
"PINGHU LIPAI BAGS AND LUGGAGE CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),"NO. 123 HEHE RD,",PINGHU,ZHEJIANG,"NO. 123 HEHE RD,, PINGHU, ZHEJIANG, China Mainland",314202,China Mainland,N ASIA,174,125,72.0%,0.0%,44.358445,-69.505522,doubt
PINGXIANG CITY GUANGXUAN FOOTWEAR CO. LTD.,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,SHOETOWN,"ZHUTING INDUSTRIAL ZONE, XUANFENG TOWN, LUXI COUNTY PINGXIANG CITY,",PINGXIANG,JIANGXI,"ZHUTING INDUSTRIAL ZONE, XUANFENG TOWN, LUXI COUNTY PINGXIANG CITY,, PINGXIANG, JIANGXI, China Mainland",337000,China Mainland,N ASIA,1401,1168,96.0%,0.0%,24.692212,118.136626,doubt
"PLV CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),TRANG BANG INDUSTRIAL ZONE,TRANG BANG,TÂY NINH,"TRANG BANG INDUSTRIAL ZONE, TRANG BANG, TÂY NINH, Viet Nam",84000,Viet Nam,SE ASIA,183,159,1.0%,0.6%,11.03333,106.36667,doubt
PMI JOINEASE PLASTIC & METAL PRODUCTS,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (AP),"HUI ZHOU CO., LTD.",HUI ZHOU,GUANGDONG,"HUI ZHOU CO., LTD., HUI ZHOU, GUANGDONG, China Mainland",516131,China Mainland,N ASIA,1193,704,56.0%,0.0%,23.105301,114.401317,doubt
PONY LEATHER,MATERIALS,MATERIALS,NIKE,,PONY LEATHER,"1 F NO. 191, SEC. 3 CHUNG SHAN RD.  YUNG CHING     HSIANG",CHANG HUA,T'AI-WAN,"1 F NO. 191, SEC. 3 CHUNG SHAN RD.  YUNG CHING     HSIANG, CHANG HUA, T'AI-WAN, Taiwan",40876,Taiwan,N ASIA,,,0.0%,0.0%,24.686072,120.902847,doubt
POU CHEN CORPORATION,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,POU CHEN,"NO. 2, FUGONG RD, FUXING TOWNSHIP",CHANGHUA,CHANGHUA,"NO. 2, FUGONG RD, FUXING TOWNSHIP, CHANGHUA, CHANGHUA, Taiwan",506,Taiwan,N ASIA,2150,576,73.0%,0.0%,23.798532,120.955426,doubt
POU CHEN VIETNAM ENTERPRISE LTD.,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,POU CHEN,"NGUYEN AI QUOC STREET, AN HOA QUARTER, HOA AN WARD,",BIEN HOA CITY,_NG NAI,"NGUYEN AI QUOC STREET, AN HOA QUARTER, HOA AN WARD,, BIEN HOA CITY, _NG NAI, Viet Nam",76123,Viet Nam,SE ASIA,17347,14056,85.0%,0.0%,10.967253,106.855704,doubt
POVOLO SRL,FINISHED GOODS,APPAREL,NIKE,,POVOLO,VIA GRAN BRETAGNA 1,GALLARATE,VARESE,"VIA GRAN BRETAGNA 1, GALLARATE, VARESE, ITALY",21013,ITALY,EMEA,23,23,90.0%,8.7%,45.648813,8.819524,doubt
POWER WIN PLASTIC PRODUCTS S.Z. COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,"BLOCK C FLOOR 1-3, NO.4 GONGLIU ROAD,",SHENZEN,GUANGDONG,"BLOCK C FLOOR 1-3, NO.4 GONGLIU ROAD,, SHENZEN, GUANGDONG, China Mainland",,China Mainland,N ASIA,241,190,70.0%,0.0%,36.062532,120.321956,doubt
PRAEGEAR VIET NAM COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),"LOT25, ROAD1, TAN DUC INDUSTRIAL ZONE,DUC HOA HA COMMUNE",DUC HOA DISTRICT,LONG AN,"LOT25, ROAD1, TAN DUC INDUSTRIAL ZONE,DUC HOA HA COMMUNE, DUC HOA DISTRICT, LONG AN, Viet Nam",82000,Viet Nam,SE ASIA,1508,1379,76.0%,4.4%,34.559684,-79.001949,doubt
PREMIER OPTICAL SHENZHEN LIMITED COMPNAY,FINISHED GOODS,EQUIPMENT,Converse,,NO GROUP (EQ),"4/F, BLOCK A, NO.1 BAO LONG 5TH ROAD",SHENZHEN,GUANGDONG,"4/F, BLOCK A, NO.1 BAO LONG 5TH ROAD, SHENZHEN, GUANGDONG, China Mainland",510000,China Mainland,N ASIA,146,115,1.0%,0.9%,45.449292,8.606181,doubt
PRIME ASIA (CHINA),MATERIALS,MATERIALS,"NIKE, Converse",,PRIME ASIA,"YUE YUEN INDUSTRIAL PARK, HUANGJIANG TOWN",DONGGUAN,GUANGDONG,"YUE YUEN INDUSTRIAL PARK, HUANGJIANG TOWN, DONGGUAN, GUANGDONG, China Mainland",,China Mainland,N ASIA,,,0.0%,0.0%,5.417977,100.333737,doubt
PRIME ASIA (VIETNAM),MATERIALS,MATERIALS,NIKE,,PRIME ASIA,"LOT V-2, MY XUAN A2 INDUSTRIAL ZONE, TAN THANH",TAN THANH,DONG NAI,"LOT V-2, MY XUAN A2 INDUSTRIAL ZONE, TAN THANH, TAN THANH, DONG NAI, Viet Nam",N/A,Viet Nam,SE ASIA,,,0.0%,0.0%,47.009056,-120.532199,doubt
PRO KINGTEX VIETNAM COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,EAGLE NICE,D10/89Q NATIONAL ROAD 1A TAN TAO WARD BINH TAN DISTRICT,HO CHI MINH CITY,HO CHI MINH,"D10/89Q NATIONAL ROAD 1A TAN TAO WARD BINH TAN DISTRICT, HO CHI MINH CITY, HO CHI MINH, Viet Nam",700000,Viet Nam,SE ASIA,2505,2204,89.0%,96.2%,10.752719,106.589787,doubt
"PROMAX TEXTILE CO., LTD. -6TH ROAD",MATERIALS,MATERIALS,NIKE,,"PROMAX TEXTILE CO., LTD.","NO.33, 6TH ROAD, FORMOSA ZONE, NHON TRACH THIRD INDUSTRIAL ZONE",NHON TRACH DISTRICT,DONG NAI,"NO.33, 6TH ROAD, FORMOSA ZONE, NHON TRACH THIRD INDUSTRIAL ZONE, NHON TRACH DISTRICT, DONG NAI, Viet Nam",737,Viet Nam,SE ASIA,,,0.0%,0.0%,55.080102,21.885245,doubt
PT ADIS DIMENSION FOOTWEAR,FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,JL. RAYA SERANG KM. 24,TANGERANG,BANTEN,"JL. RAYA SERANG KM. 24, TANGERANG, BANTEN, INDONESIA",15610,INDONESIA,S ASIA,7500,7225,54.0%,0.0%,-6.154265,106.602916,doubt
PT CHANGSHIN REKSAJAYA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,CHANGSHIN,"KP. KARANG MEKAR, RT.002/RW.008		",GARUT,JAWA BARAT,"KP. KARANG MEKAR, RT.002/RW.008		, GARUT, JAWA BARAT, INDONESIA",44152,INDONESIA,S ASIA,7949,7411,91.0%,0.2%,-7.194755,107.901287,doubt
PT DAYUP INDO,FINISHED GOODS,EQUIPMENT,NIKE,,DAYUP,"NUSANTARA BONDED ZONE KBN, JL. MADURA 6 BLOCK D13A",JAKARTA,JAKARTA RAYA,"NUSANTARA BONDED ZONE KBN, JL. MADURA 6 BLOCK D13A, JAKARTA, JAKARTA RAYA, INDONESIA",14140,INDONESIA,S ASIA,1403,1300,90.0%,1.0%,-6.104965,106.950533,success
PT DONG A DECAL,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"JL RAYA CAKUNG CILINCING KBN CAKUNG , BLOK E 9  JAKARTA",,JAKARTA RAYA,"JL RAYA CAKUNG CILINCING KBN CAKUNG , BLOK E 9  JAKARTA, , JAKARTA RAYA, INDONESIA",14140,INDONESIA,S ASIA,407,373,42.0%,1.3%,-6.208054,106.77605,doubt
PT EAGLE NICE INDONESIA,FINISHED GOODS,APPAREL,NIKE,Collegiate,EAGLE NICE,JL RAYA SERANG KM 70 DS. KIBIN KEC. KIBIN,KABUPATEN SERANG,BANTEN,"JL RAYA SERANG KM 70 DS. KIBIN KEC. KIBIN, KABUPATEN SERANG, BANTEN, INDONESIA",42186,INDONESIA,S ASIA,2823,1833,70.0%,1.2%,-6.129083,106.179114,doubt
PT KMK GLOBAL SPORTS / K1,FINISHED GOODS,FOOTWEAR,NIKE,,KMK,CIKUPA MAS INDUSTRIAL ESTATE & WAREHOUSE,TANGERANG,BANTEN,"CIKUPA MAS INDUSTRIAL ESTATE & WAREHOUSE, TANGERANG, BANTEN, INDONESIA",15710,INDONESIA,S ASIA,13191,12110,81.0%,0.0%,-6.261541,106.522003,doubt
PT MAREL SUKSES PRATAMA,FINISHED GOODS,EQUIPMENT,Converse,,NO GROUP (EQ),JL. BARU MULUNGAN GONDANG PENEN ,YOGYAKARTA,YOGYAKARTA,"JL. BARU MULUNGAN GONDANG PENEN , YOGYAKARTA, YOGYAKARTA, INDONESIA",55285,INDONESIA,S ASIA,186,85,54.0%,0.0%,-7.786164,110.399303,doubt
PT MITRA GARINDO PERKASA,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"JL. PANCASILA V/21, CICADAS-GUNUNG PUTRI",BOGOR,,"JL. PANCASILA V/21, CICADAS-GUNUNG PUTRI, BOGOR, , INDONESIA",16964,INDONESIA,S ASIA,518,428,90.0%,0.0%,-6.408106,106.583521,doubt
PT MORICH INDO FASHION,FINISHED GOODS,APPAREL,NIKE,,MORICH,"JL., DUSUN GEMBONGAN RT.09/RW.04-KEL.KARANGJATI,KEC.BERGAS",SEMARANG,JAWA TENGAH,"JL., DUSUN GEMBONGAN RT.09/RW.04-KEL.KARANGJATI,KEC.BERGAS, SEMARANG, JAWA TENGAH, INDONESIA",50552,INDONESIA,S ASIA,2211,42,84.0%,0.0%,1.034122,120.815988,doubt
PT NIKOMAS GEMILANG,FINISHED GOODS,FOOTWEAR,NIKE,,POU CHEN,JL. RAYA SERANG KM. 71 DESA TAMBAK,SERANG,BANTEN,"JL. RAYA SERANG KM. 71 DESA TAMBAK, SERANG, BANTEN, INDONESIA",42186,INDONESIA,S ASIA,21411,18865,83.0%,0.3%,-6.477403,106.108113,doubt
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,FOOTWEAR,NIKE,,PRATAMA,JL. RAYA SERPONG KM. 7,TANGERANG SELATAN,BANTEN,"JL. RAYA SERPONG KM. 7, TANGERANG SELATAN, BANTEN, INDONESIA",15325,INDONESIA,S ASIA,8533,6329,77.0%,0.8%,-6.154265,106.602916,doubt
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,FOOTWEAR,NIKE,,PRATAMA,JL. RAYA SUKABUMI CIANJUR KM 14,SUKABUMI,JAWA BARAT,"JL. RAYA SUKABUMI CIANJUR KM 14, SUKABUMI, JAWA BARAT, INDONESIA",43191,INDONESIA,S ASIA,21104,19137,70.0%,0.0%,-6.779171,106.583862,doubt
PT R PRIMA JAYA,FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),JL. RAYA KALIGAWE KM 8,SEMARANG,,"JL. RAYA KALIGAWE KM 8, SEMARANG, , INDONESIA",50117,INDONESIA,S ASIA,667,557,88.0%,0.0%,-7.021498,110.406658,doubt
PT SELALU CINTA INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,KMK,JL LINGKAR SELATAN SALATIGA DUSUN TETEP ,SALATIGA,JAWA TENGAH,"JL LINGKAR SELATAN SALATIGA DUSUN TETEP , SALATIGA, JAWA TENGAH, INDONESIA",50735,INDONESIA,S ASIA,180,120,80.0%,0.0%,-7.356154,110.483077,doubt
PT SEMARANG GARMENT,FINISHED GOODS,APPAREL,NIKE,,KUKDONG,JL SOEKARNO HATTA KM 25,SEMARANG,,"JL SOEKARNO HATTA KM 25, SEMARANG, , INDONESIA",50552,INDONESIA,S ASIA,7188,3594,95.0%,0.0%,-7.021498,110.406658,doubt
PT SHOETOWN KASOKANDEL INDONESIA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,SHOETOWN,JALAN RAYA SUMEDANG CIREBON,MAJALENGKA,,"JALAN RAYA SUMEDANG CIREBON, MAJALENGKA, , INDONESIA",45453,INDONESIA,S ASIA,2902,2135,58.0%,0.0%,-6.834379,108.251267,doubt
PT TONG HONG INDONESIA,MATERIALS,MATERIALS,Converse,,TONG HONG,"KAWASAN INDUSTRI MODERN CIKANDE, JL. MODERN INDUSTRI 14 BLOK W NO. 1, CIKANDE",SERANG,BANTEN,"KAWASAN INDUSTRI MODERN CIKANDE, JL. MODERN INDUSTRI 14 BLOK W NO. 1, CIKANDE, SERANG, BANTEN, INDONESIA",0,INDONESIA,S ASIA,,,0.0%,0.0%,-6.477403,106.108113,doubt
PT TRIGOLDENSTAR WISESA,FINISHED GOODS,APPAREL,NIKE,,TRIGOLDENSTAR,JL. RUMAMBE DESA ANGGADITA KEC. KLARI,KARAWANG,JAWA BARAT,"JL. RUMAMBE DESA ANGGADITA KEC. KLARI, KARAWANG, JAWA BARAT, INDONESIA",41371,INDONESIA,S ASIA,1145,840,84.0%,0.0%,-6.288714,107.41862,doubt
PT TUNTEX GARMENT INDONESIA-CKP,FINISHED GOODS,APPAREL,NIKE,,TUNTEX,JL. RAYA SERANG KM 18.8,TANGERANG,BANTEN,"JL. RAYA SERANG KM 18.8, TANGERANG, BANTEN, INDONESIA",15710,INDONESIA,S ASIA,1382,1206,96.0%,0.0%,-6.154265,106.602916,doubt
PT TUNTEX GARMENT INDONESIA-TGR,FINISHED GOODS,APPAREL,NIKE,,TUNTEX,JLN. MOH TOHA KM.2 NO.29,TANGERANG,BANTEN,"JLN. MOH TOHA KM.2 NO.29, TANGERANG, BANTEN, INDONESIA",15112,INDONESIA,S ASIA,1040,679,92.0%,1.6%,-6.154265,106.602916,doubt
PT VICTORY CHINGLUH INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,CHINGLUH,"JL. OTONOM PASAR KEMIS NO.48/49 RT.003/RW.004, PASAR KEMIS",TANGERANG,BANTEN,"JL. OTONOM PASAR KEMIS NO.48/49 RT.003/RW.004, PASAR KEMIS, TANGERANG, BANTEN, INDONESIA",15560,INDONESIA,S ASIA,15057,13511,75.0%,0.3%,-6.17028,106.53028,success
PT. CCH INDONESIA,FINISHED GOODS,APPAREL,NIKE,,CHUAN CHENG,JL. DESA GIRIASIH NO. 16,BANDUNG BARAT,JAWA BARAT,"JL. DESA GIRIASIH NO. 16, BANDUNG BARAT, JAWA BARAT, INDONESIA",40552,INDONESIA,S ASIA,1348,1090,64.0%,0.5%,-6.819725,107.441831,doubt
PT. CHANG SHIN INDONESIA MERGED WITH SEO HEUNG,FINISHED GOODS,FOOTWEAR,NIKE,,CHANGSHIN,"JL. IR. H. JUANDA NO.008, RT. 001 RW. 005 DESA JOMIN BARAT",KARAWANG,JAWA BARAT,"JL. IR. H. JUANDA NO.008, RT. 001 RW. 005 DESA JOMIN BARAT, KARAWANG, JAWA BARAT, INDONESIA",41374,INDONESIA,S ASIA,2276,2163,76.0%,0.2%,-6.288714,107.41862,doubt
PT. CHING LUH INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,CHINGLUH,JL. RAYA SERANG KM.16,CIKUPA,BANTEN,"JL. RAYA SERANG KM.16, CIKUPA, BANTEN, INDONESIA",15710,INDONESIA,S ASIA,8170,6683,74.0%,0.0%,-6.261541,106.522003,doubt
PT. FENG TAY INDONESIA ENTERPRISES,FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,JL. RAYA BANJARAN KM. 14.6,BANDUNG,JAWA BARAT,"JL. RAYA BANJARAN KM. 14.6, BANDUNG, JAWA BARAT, INDONESIA",40376,INDONESIA,S ASIA,13804,12484,69.0%,0.1%,-7.173881,107.684612,doubt
PT. GRAND BEST INDONESIA,FINISHED GOODS,APPAREL,NIKE,,TUNTEX,"JL. COASTER NO. 8 BLOK B 18, 19, 20, 21, 22 ",SEMARANG,JAWA TENGAH,"JL. COASTER NO. 8 BLOK B 18, 19, 20, 21, 22 , SEMARANG, JAWA TENGAH, INDONESIA",50174,INDONESIA,S ASIA,2307,2070,93.0%,0.4%,-7.021498,110.406658,doubt
PT. KANINDO MAKMUR JAYA,FINISHED GOODS,EQUIPMENT,NIKE,Collegiate,KANAAN,"JALAN RAYA JEPARA-KUDUS KM 19, DUSUN PENDOSAWALAN,","JEPARA, CENTRAL JAVA",JAWA TENGAH,"JALAN RAYA JEPARA-KUDUS KM 19, DUSUN PENDOSAWALAN,, JEPARA, CENTRAL JAVA, JAWA TENGAH, INDONESIA",59462,INDONESIA,S ASIA,6088,5500,79.0%,0.1%,-6.572406,110.77241,doubt
PT. POU YUEN INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,POU CHEN,"JALAN RAYA CIANJUR BANDUNG KM7, KAMPUNG LEMBUR SAWAH",CIANJUR,JAWA BARAT,"JALAN RAYA CIANJUR BANDUNG KM7, KAMPUNG LEMBUR SAWAH, CIANJUR, JAWA BARAT, INDONESIA",43284,INDONESIA,S ASIA,8218,6209,52.0%,0.9%,-7.139048,107.111206,doubt
PT. SHOETOWN LIGUNG INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,"JALAN LANUD SUKANI, DESA BUNTU",MAJALENGKA,JAWA BARAT,"JALAN LANUD SUKANI, DESA BUNTU, MAJALENGKA, JAWA BARAT, INDONESIA",45456,INDONESIA,S ASIA,4064,2645,51.0%,0.7%,-6.834379,108.251267,doubt
PT. TK INDUSTRIAL INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,TAEKWANG,BELENDUNG II RT/RW 17/16 NO. 046,"BELENDUNG, CIBOGO",JAWA BARAT,"BELENDUNG II RT/RW 17/16 NO. 046, BELENDUNG, CIBOGO, JAWA BARAT, INDONESIA",41285,INDONESIA,S ASIA,24573,21609,87.0%,0.3%,-6.55111,107.81778,doubt
PT. YC TEC INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,,NO GROUP (FW),KP. CISANTRI RT.002 RW.001,CIBATU KABUPATEN PURWAKARTA,JAWA BARAT,"KP. CISANTRI RT.002 RW.001, CIBATU KABUPATEN PURWAKARTA, JAWA BARAT, INDONESIA",41181,INDONESIA,S ASIA,589,531,58.0%,1.3%,-6.867881,107.586181,doubt
QINGDAO CHANGSHIN JIMO FACTORY,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,CHANGSHIN,"#49, YANQING ROAD","JIMO, QINGDAO",SHANDONG,"#49, YANQING ROAD, JIMO, QINGDAO, SHANDONG, China Mainland",266200,China Mainland,N ASIA,514,433,40.0%,0.0%,28.563942,77.368389,success
"QINGDAO CHANGSHIN SHOES CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,CHANGSHIN,NO.6 QUANZHOU ROAD,QINGDAO,SHANDONG,"NO.6 QUANZHOU ROAD, QINGDAO, SHANDONG, China Mainland",266300,China Mainland,N ASIA,3817,3327,88.0%,0.0%,31.167766,121.400068,success
"QINGDAO TAEHWA SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,EAST OF NIU XI BU EXIT OF SHENHAI EXPRESSWAY ,LAIXI CITY,SHANDONG,"EAST OF NIU XI BU EXIT OF SHENHAI EXPRESSWAY , LAIXI CITY, SHANDONG, China Mainland",250011,China Mainland,N ASIA,538,528,92.0%,0.0%,36.85917,120.52694,doubt
"QINGDAO TAEJIN SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,"NO.2-1OF FUQIAN STREET,LANCUN TOWN,JIMO CITY ",JIMO CITY,SHANDONG,"NO.2-1OF FUQIAN STREET,LANCUN TOWN,JIMO CITY , JIMO CITY, SHANDONG, China Mainland",250011,China Mainland,N ASIA,411,395,97.0%,0.0%,24.249538,120.717686,doubt
"QINGDAO TAEKWANG SHOES CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,,TAEKWANG,"LIQUANGZHUANG TOWN INDUSTRIAL ZONE, LAIXI CITY",QINGDAO,SHANDONG,"LIQUANGZHUANG TOWN INDUSTRIAL ZONE, LAIXI CITY, QINGDAO, SHANDONG, China Mainland",266604,China Mainland,N ASIA,2007,1922,79.0%,0.0%,24.692212,118.136626,doubt
"QINGDAO YANTAI NE APPAREL CO.,LTD",FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,NO. 26 HAIYANG YANTAI ECONOMIC DEVELOPMENT ZONE.,YANTAI,SHANDONG,"NO. 26 HAIYANG YANTAI ECONOMIC DEVELOPMENT ZONE., YANTAI, SHANDONG, China Mainland",265100,China Mainland,N ASIA,1004,821,87.0%,0.0%,37.54021,121.382733,doubt
QINGYUAN CITY LIANNAN YAO NATIONALITY AUTONOMOUS COUNTY RONGFANG FOOTWEAR,FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,"50 YAN JIANG EAST ROAD,SAN JIANG TOWN LIAN NAN COUNTY",QING YUAN,GUANGDONG,"50 YAN JIANG EAST ROAD,SAN JIANG TOWN, LIAN NAN COUNTY, QING YUAN, GUANGDONG, China Mainland",513300,China Mainland,N ASIA,743,615,87.0%,0.0%,24.7230217,112.2934877,success
"QUANG VIET ENTERPRISE CO., LTD",FINISHED GOODS,APPAREL,NIKE,,QUANG VIET,"UNIT 2 , CU CHI TOWN",HO CHI MINH,HO CHI MINH,"UNIT 2 , CU CHI TOWN, HO CHI MINH, HO CHI MINH, Viet Nam",70000,Viet Nam,SE ASIA,6160,5920,94.0%,0.0%,50.696313,-2.110021,success
QUANZHOU  FENGZE YISHENG LEATHER CO,FINISHED GOODS,EQUIPMENT,Converse,,NO SUPPLIER GROUP,"BUILDING 3, SOUTH, XUNMEI INDUSTRY DISTRICT",QUANZHOU,FUJIAN,"BUILDING 3, SOUTH, XUNMEI INDUSTRY DISTRICT, QUANZHOU, FUJIAN, China Mainland",362341,China Mainland,N ASIA,42,33,1.0%,3.0%,-33.367875,115.653545,success
