Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Add,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Lat,Lon,Status
"FUJIAN XIEFENG FOOTWEAR CO.,LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,"XI TIAN WEI TOWN,LICHENG DISTRIC",PUTIAN,FUJIAN,"XI TIAN WEI TOWN,LICHENG DISTRIC, PUTIAN, FUJIAN, China Mainland",351131,China Mainland,N ASIA,4596,4235,76.0%,0.0%,23.75,106.9,doubt
FUKUI,FINISHED GOODS,APPAREL,NIKE,,JAPAN POLYMARK,"45-163, SHIMIZUSUGITANI-CHO",FUKUI,HUKUI,"45-163, SHIMIZUSUGITANI-CHO, FUKUI, HUKUI, JAPAN",910-3607,JAPAN,N ASIA,68,16,53.0%,0.0%,36.13793,138.441899,doubt
"FU-LUH SHOES CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,,CHINGLUH,"TR_ YEN HAMLET, TAN KIM COMMUNE, CAN GIUOC COUNTY",LONG AN,LONG AN,"TR_ YEN HAMLET, TAN KIM COMMUNE, CAN GIUOC COUNTY, LONG AN, LONG AN, Viet Nam",82500,Viet Nam,SE ASIA,11846,9829,76.0%,0.0%,10.609356,106.66597,success
"FUTURE GARMENT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,NO GROUP (AP),"211/18-26 NONSEE ROAD , CHONGNONSEE  YANNAWA",BANGKOK,BANGKOK,"211/18-26 NONSEE ROAD , CHONGNONSEE  YANNAWA, BANGKOK, BANGKOK, THAILAND",10120,THAILAND,SE ASIA,429,406,66.0%,73.2%,13.881591,100.644533,doubt
GAIN LUCKY,MATERIALS,MATERIALS,NIKE,,NINGBO,"NO  40-6, N14 STREET, PHUOC DONG INDUSTRIAL PARK, PHUOC DONG WARD, GO DAU DISTRICT, TAY NINH PROVINCE",PHUOC DONG,TAY NINH,"NO  40-6, N14 STREET, PHUOC DONG INDUSTRIAL PARK, PHUOC DONG WARD, GO DAU DISTRICT, TAY NINH PROVINCE, PHUOC DONG, TAY NINH, Viet Nam",n/a,Viet Nam,SE ASIA,,,0.0%,0.0%,36.56708,128.71608,doubt
GALLO TESSILE SRL.,FINISHED GOODS,APPAREL,NIKE,,DIOR,"CORSO PIAVE, 11",MORTARA,PAVIA,"CORSO PIAVE, 11, MORTARA, PAVIA, ITALY",27036,ITALY,EMEA,53,37,75.0%,0.0%,45.250243,8.733801,doubt
GB LIGHT (KOREA),MATERIALS,MATERIALS,NIKE,,GB LIGHT,"#1733-4 SONGJEONG-DONG,KANGSEO-GU, BUSAN, KOREA",BUSAN,BUSAN,"#1733-4 SONGJEONG-DONG,KANGSEO-GU, BUSAN, KOREA, BUSAN, BUSAN, Korea (Republic of)",618-820,Korea (Republic of),N ASIA,,,0.0%,0.0%,36.71887,129.385826,doubt
GB LIGHT (VIETNAM),MATERIALS,MATERIALS,NIKE,,GB LIGHT,"B2.7, ROAD NO. D1, DONG AN 2 IP, HOA PHU WARD",THU DAU MOT,BINH DUONG,"B2.7, ROAD NO. D1, DONG AN 2 IP, HOA PHU WARD, THU DAU MOT, BINH DUONG, Viet Nam",0,Viet Nam,SE ASIA,,,0.0%,0.0%,47.741994,15.779488,doubt
GERMTON INDUSTRIAL COMPANY LTD.,FINISHED GOODS,APPAREL,"NIKE, Converse",,NO GROUP (AP),"DONG QUE SON IP, HUONG AN , QUE SON , QUANG NAM PROVINCE",HUONG AN COMMUNE,QUNG NAM,"DONG QUE SON IP, HUONG AN , QUE SON , QUANG NAM PROVINCE, HUONG AN COMMUNE, QUNG NAM, Viet Nam",560000,Viet Nam,SE ASIA,2806,2472,85.0%,0.6%,50.442659,4.904588,doubt
GHERARDI SRL,FINISHED GOODS,APPAREL,NIKE,,DIOR,"VIA CANONICO COUPERS, 11",PIEVE SANTO STEFANO,AREZZO,"VIA CANONICO COUPERS, 11, PIEVE SANTO STEFANO, AREZZO, ITALY",52036,ITALY,EMEA,135,55,35.0%,29.1%,43.67111,12.041906,doubt
GIANEL SHOES SRL,FINISHED GOODS,FOOTWEAR,NIKE,,GIANEL,ZONA INDUSTRIALE,CASARANO,LECCE,"ZONA INDUSTRIALE, CASARANO, LECCE, ITALY",73042,ITALY,EMEA,121,118,69.0%,5.9%,40.012387,18.162247,doubt
GILDAN ACTIVEWEAR SAN MIGUEL S.A.,FINISHED GOODS,APPAREL,NIKE,,GILDAN,PARQUE INDUSTRIAL ZOLI HONDURAS,CHOLOMA,CORTÉS,"PARQUE INDUSTRIAL ZOLI HONDURAS, CHOLOMA, CORTÉS, HONDURAS",0,HONDURAS,AMERICAS,5770,5091,59.0%,0.0%,18.441802,-69.929327,doubt
